PARK_NAME,LATITUDE,LONGITUDE,ADDRESS,URL
Aberdeen Park,49.2347,-123.0273,3525 Foster Av,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Adanac Park,49.2762,-123.0255,1025 Boundary Road,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=65
Alexandra Park,49.2854,-123.1422,1755 Beach Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=199
Alice Townley Park,49.269,-123.0741,1775 Woodland Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=49
Almond Park,49.2614,-123.1856,3600 W 12th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=106
Andy Livingstone Park,49.2784,-123.1034,89 Expo Boulevard,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=10
Angus Park,49.2537,-123.1437,3600 Angus Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=169
Arbutus Greenway Park,49.2621,-123.1548,W 11th Av Between Vine St And Arbutus St,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Arbutus Park,49.2164,-123.1551,7601 Arbutus St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=90
Arbutus Village Park,49.2507,-123.155,4202 Valley Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=1
Art Phillips Park,49.2856,-123.1203,625 Burrard St,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Ash Park,49.2103,-123.1195,8288 Ash St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=122
Balaclava Park,49.245,-123.1758,4594 Balaclava St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=34
Barclay Heritage Square,49.2872,-123.1321,1433 Barclay St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=0
Bates Park,49.2917,-123.0249,669 Fellowes St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=66
Beaconsfield Park,49.2555,-123.0508,3215 Slocan St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=148
Bobolink Park,49.215,-123.0573,2510 Hoylake Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=191
Braemar Park,49.2476,-123.1235,895 W 27th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=174
Brewers Park,49.2473,-123.0664,4175 Victoria Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=79
Burrard View Park,49.2908,-123.0505,650 North Penticton St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=67
Callister Park,49.2861,-123.0451,2875 Oxford St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=68
Cambie Park,49.2213,-123.1177,500 W 54th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=142
Cambridge Park,49.2862,-123.0616,2099 Wall St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=50
Camosun,49.2572,-123.2009,4102 W 16th Av,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Captain Cook Park,49.2183,-123.0344,3398 E 54th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=99
Cardero Park,49.2918,-123.1279,1601 Bayshore Drive,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Cariboo Park,49.2441,-123.0292,3450 E 29th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=149
